epoch,train_loss,val_loss,val_roc_auc_score
1,0.6345650237940607,0.5359317064285278,0.7658813955644372
2,0.5669385833399636,0.5345343351364136,0.7715417340516486
3,0.5383008907711695,0.4818951189517975,0.7803541445626757
4,0.5261816104489659,0.47600317001342773,0.7904799184169594
5,0.5123606127878976,0.5764486789703369,0.8035671978491745
6,0.5041389673475235,0.4883122444152832,0.8097425807847217
7,0.4925971534990129,0.52094966173172,0.8184880355174653
8,0.4855917135164851,0.5519590377807617,0.8251218080120314
9,0.486316389152928,0.4762077033519745,0.8251218080120314
10,0.4775130625755068,0.49770933389663696,0.8286962164834826
11,0.4697941033140061,0.4463770389556885,0.8285417031489817
12,0.4653042297041605,0.4771924614906311,0.833238908517805
13,0.46280663886240553,0.4449268579483032,0.8363858300971375
14,0.4595153010080731,0.4677274823188782,0.8387807867818993
15,0.4564708627405621,0.4896153211593628,0.8379567156645619
16,0.4483520419942954,0.46750953793525696,0.8396151587882034
17,0.4468277232159698,0.4901467263698578,0.8338930149671917
18,0.44301851543169174,0.47195127606391907,0.8444823288249776
19,0.434393491241194,0.4689980745315552,0.8388528930046664
20,0.43712391751626184,0.46746259927749634,0.8408049114638593
21,0.43452877793756745,0.469117134809494,0.8366897063216556
22,0.4301086991197533,0.48748117685317993,0.8447192492712121
23,0.428490021576484,0.46507999300956726,0.8412426992449449
24,0.42340660550528103,0.4340573847293854,0.8388786452270831
25,0.42489912964048837,0.43285924196243286,0.841201495689078
26,0.42085354160221794,0.4582062363624573,0.8417783454712141
27,0.417723395758205,0.44686540961265564,0.8410830354659609
28,0.4171101437319839,0.5204460024833679,0.8410830354659606
29,0.41276471222203875,0.45371586084365845,0.8448480103832962
30,0.40985264339380795,0.44993090629577637,0.8405113361283079
31,0.40616812214018805,0.4925442039966583,0.8446934970487953
32,0.4083689282692614,0.43881112337112427,0.8402383625706898
33,0.40310785162543494,0.5272179245948792,0.8416083808032633
34,0.39399722762524136,0.44333696365356445,0.8407379556855756
35,0.3964402379970702,0.45910847187042236,0.8394451941202526
36,0.396670490385048,0.44321438670158386,0.8357471749812009
37,0.3907450425128142,0.43736234307289124,0.8415311241360129
38,0.388024742818541,0.4558822214603424,0.8415311241360128
39,0.3858920994495589,0.5216279029846191,0.8408306636862761
