epoch,train_loss,val_loss,val_roc_auc_score
1,0.644696727860719,0.5282443165779114,0.8182604634376757
2,0.5704065093304962,0.45859453082084656,0.8355464976806887
3,0.5390897854231298,0.437240332365036,0.843953337791506
4,0.5244742057984695,0.4722501337528229,0.8483955885318812
5,0.5039312494918704,0.4515083432197571,0.853681707692471
6,0.4963800519471988,0.4432726800441742,0.8535861754184844
7,0.48840415943413973,0.4183017611503601,0.8582088760097231
8,0.48205888899974525,0.43278074264526367,0.8605016505854005
9,0.47213452315190807,0.44658684730529785,0.8592013501894724
10,0.46708061220124364,0.4680021405220032,0.8598859981530427
11,0.4662664891802706,0.4262602627277374,0.8606661783905996
12,0.4602570228744298,0.41727882623672485,0.8634100775934359
13,0.45137814327608794,0.39941996335983276,0.8647475294292478
14,0.4519915848504752,0.4594447612762451,0.8649598233714402
15,0.4502922768006101,0.42281749844551086,0.864296404802089
16,0.444542245415505,0.44730696082115173,0.8599125348958168
17,0.4467111947014928,0.4069317877292633,0.8641796431338833
18,0.43742258532438427,0.42896607518196106,0.865793077094545
19,0.43378209706861526,0.40530768036842346,0.8634153849419907
20,0.43262066232273355,0.5109097957611084,0.8634100775934359
21,0.42876945238094777,0.43189266324043274,0.8657187742147778
22,0.41906360822031274,0.40207648277282715,0.86552240231825
23,0.4235917018959299,0.4285655915737152,0.8653366451188316
24,0.41707871336257085,0.4148966670036316,0.8661380547506077
25,0.41522889130283147,0.4263085424900055,0.8655117876211402
26,0.4158404428162612,0.4360063374042511,0.8661964355847106
27,0.41056856780778617,0.4294584393501282,0.8630969440287022
28,0.4097727310145274,0.43167105317115784,0.8630491778917088
29,0.4050876504043117,0.4792407155036926,0.861764799541445
30,0.40536687639541924,0.4094313085079193,0.8622000021229395
31,0.4025399660458788,0.43521803617477417,0.8606927151333736
32,0.39414411335019395,0.4042394161224365,0.865793077094545
33,0.39264829075546004,0.44216176867485046,0.8613349043085055
34,0.39353262551594526,0.44644173979759216,0.8571792503900901
35,0.3891362940776162,0.4322965443134308,0.8624441401564608
36,0.38292987510794774,0.42794162034988403,0.858490165483128
