epoch,train_loss,val_loss,val_roc_auc_score
1,0.5605306688045698,0.5274409055709839,0.827140782249508
2,0.4851867691096332,0.4588501751422882,0.8405576901286581
3,0.46037877738357535,0.407575786113739,0.8438385232645577
4,0.44420453249698594,0.40803858637809753,0.8426281688109684
5,0.4290040617897397,0.4965035915374756,0.8433749832610555
6,0.4137370540863938,0.5099982023239136,0.8403722741272571
7,0.39937053462638267,0.4523776173591614,0.8436428063741901
8,0.38305646107192076,0.5637254118919373,0.8434934434841727
9,0.3688096179671231,0.511202871799469,0.8394966985650861
10,0.34902952355702244,0.48817306756973267,0.8342329443030934
11,0.33221995313134456,0.5232364535331726,0.8373283614375922
12,0.3091939265085828,0.48075932264328003,0.8328526251815532
13,0.2897275893594183,0.5459103584289551,0.8254205337920661
