epoch,train_loss,val_loss,val_roc_auc_score
1,0.8864546250551939,0.6162751317024231,0.6735772640764981
2,0.6047431058250368,0.5470849871635437,0.7955890544492411
3,0.5343540986068547,0.43279755115509033,0.8020064522118554
4,0.5018444480374455,0.49571502208709717,0.8269913661049993
5,0.4844058211892843,0.5526614189147949,0.8216241934735181
6,0.48006154084578156,0.48989641666412354,0.8375400362066565
7,0.4819922149181366,0.7424173355102539,0.8287494777886087
8,0.4786327979527414,0.6154152750968933,0.8151603769205774
9,0.47235419461503625,0.5258275270462036,0.833872951770877
10,0.45576302986592054,0.5347200632095337,0.8357819245230471
11,0.4510729410685599,0.4429363012313843,0.8344241749060018
12,0.48916324181482196,0.5318426489830017,0.8352713178294574
13,0.7277966067194939,0.787213146686554,0.7992561388850206
14,0.5023967633023858,0.548328161239624,0.8373195469526065
15,0.482184337452054,0.4403749704360962,0.8341340574664624
16,0.4630329813808203,0.49612194299697876,0.8404296059044701
17,0.47722858376801014,0.46512576937675476,0.8355498305714153
18,0.44859044905751944,0.4239942133426666,0.8326457550016246
19,0.45450126100331545,0.5999576449394226,0.8388281576382117
20,0.44235984748229384,0.5172615647315979,0.8349289792508008
21,0.4359643063507974,0.5066872835159302,0.8338091259341782
22,0.4342087237164378,0.516444981098175,0.8385206331523001
23,0.42801046278327703,0.473813533782959,0.834087638676136
24,0.44446181366220117,0.5570102334022522,0.843615095390614
25,0.43646590784192085,0.5069797039031982,0.8448277862878892
26,0.42887604562565684,0.454309344291687,0.8416945179408624
27,0.41989587200805545,0.5416913628578186,0.8394112936916863
28,0.4218315342441201,0.5438761115074158,0.834270412663046
29,0.4121459284797311,0.45166754722595215,0.8397739404911108
30,0.4162429408170283,0.45987221598625183,0.8423559857030126
31,0.4147808817215264,0.4569060206413269,0.8368147426078077
32,0.41730066761374474,0.4658469259738922,0.8366464744928748
33,0.4038431737571955,0.6325446367263794,0.8347839205310309
34,0.4045428428798914,0.4681938588619232,0.8370352318618577
35,0.4122256310656667,0.4066469967365265,0.8382595274567144
