epoch,train_loss,val_loss,val_roc_auc_score
1,0.8554306132718921,0.8228766918182373,0.7529824095879355
2,0.5724420258775353,0.5076703429222107,0.841398830254182
3,0.5164784081280231,0.7243971228599548,0.8478667064689819
4,0.5103885983116925,0.5726103782653809,0.8585469943723949
5,0.6143197556957603,0.547485888004303,0.8512747797052418
6,0.5500788781791925,0.6616977453231812,0.8440744303293642
7,0.5009620171040297,0.4752485752105713,0.8561146306676838
8,0.48638222832232714,0.6877278685569763,0.86797240372815
9,0.4697195319458842,0.44876453280448914,0.862366911008657
10,0.47616859525442123,0.4785960018634796,0.8641359027939014
11,0.4681535782292485,0.3980971872806549,0.8627981027563102
12,0.46532234782353044,0.6067023873329163,0.8682985615885546
13,0.46909552440047264,0.47935184836387634,0.8668557276637147
14,0.45175086008384824,0.45699337124824524,0.8703439583402434
15,0.46342827985063195,0.448579341173172,0.8588344555374972
16,0.4751274730078876,0.6515895128250122,0.8739151105067055
17,0.4554850133135915,0.41147753596305847,0.8715767244905857
18,0.4534910819493234,0.4178687334060669,0.8665516822006258
19,0.44644360104575753,0.47035086154937744,0.8716707021791767
20,0.4411900625564158,0.3380456566810608,0.8683759549791591
21,0.44635376799851656,0.3635527193546295,0.8739925038973101
22,0.44192409655079246,0.5410223007202148,0.8703550145389013
23,0.4494996112771332,0.5893381834030151,0.8680967859630503
24,0.4419195097871125,0.40083664655685425,0.8664079516180746
25,0.42946641938760877,0.4529305398464203,0.857253419129435
26,0.4333942090161145,0.6336270570755005,0.8620573374462392
27,0.4535808600485325,0.6505910158157349,0.860327042356297
28,1.7140874220058322,0.708404004573822,0.49951076320939336
29,1.0775350760668516,0.707747220993042,0.5
30,0.6931754313409328,0.6930869221687317,0.5
31,0.6931471955031157,0.6931295394897461,0.5
