epoch,train_loss,val_loss,val_roc_auc_score
1,0.5588331368039636,0.4556165337562561,0.8405630599266583
2,0.4804771795284514,0.45281293988227844,0.8499802720141113
3,0.4593461401614488,0.5406765937805176,0.8510479041916168
4,0.4377446535463427,0.3798410892486572,0.8556665738290861
5,0.42382098916991084,0.40464556217193604,0.8488198022559532
6,0.40875225604749194,0.4479602873325348,0.8518776400686998
7,0.3926447879449994,0.5119093656539917,0.8484484519333426
8,0.37591065251651934,0.4756464660167694,0.853838833959987
9,0.3570276207053194,0.49204492568969727,0.8476361231026319
10,0.34000953717851173,0.3760501444339752,0.848657336489811
11,0.3209335323204012,0.4614528715610504,0.850711367961751
12,0.30644201752455796,0.43193092942237854,0.8446130993826301
13,0.28482676345635866,0.5137191414833069,0.8419208095437032
14,0.262917233886672,0.6142740249633789,0.8268376038620433
